histo_vt_k0band,0,0.0444365,0.00292521
histo_vt_k0band,1,0.0446319,0.00466795
histo_vt_k0band,2,0.0444823,0.00406769
histo_vt_k0band,3,0.0445627,0.00386484
histo_vt_k0band,4,0.04468,0.00342698
histo_vt_k0band,5,0.0450488,0.00237783
histo_vt_k0band,6,0.0487499,0.001
histo_vt_k0band,7,0.048,0.001
histo_vt_k0band,8,0.048,0.001
histo_vt_k0band,9,0.048,0.001
histo_vt_nonk0band,0,0.0443731,0.00795513
histo_vt_nonk0band,1,0.0445287,0.00349528
histo_vt_nonk0band,2,0.0446143,0.00317214
histo_vt_nonk0band,3,0.0445576,0.00280046
histo_vt_nonk0band,4,0.0446261,0.0026083
histo_vt_nonk0band,5,0.0445713,0.00241382
histo_vt_nonk0band,6,0.0445717,0.00235443
histo_vt_nonk0band,7,0.0468382,0.001
histo_vt_nonk0band,8,0,0.001
histo_vt_nonk0band,9,1.28819e-14,0.001
histo_vz_k0band,0,0.30913,5.46019
histo_vz_k0band,1,0.183453,5.18312
histo_vz_k0band,2,0.175771,5.11776
histo_vz_k0band,3,0.112507,5.05263
histo_vz_k0band,4,0.397782,5.18089
histo_vz_k0band,5,-0.790656,5.82748
histo_vz_k0band,6,-3,1
histo_vz_k0band,7,-3,1
histo_vz_k0band,8,-2.99999,1
histo_vz_k0band,9,-2.99999,1
histo_vz_nonk0band,0,0.299896,20
histo_vz_nonk0band,1,-0.00197958,5.11517
histo_vz_nonk0band,2,-0.186908,5.06994
histo_vz_nonk0band,3,-0.0239119,5.08485
histo_vz_nonk0band,4,0.0549797,5.11937
histo_vz_nonk0band,5,0.0571694,5.45112
histo_vz_nonk0band,6,-1.49247,1.53281
histo_vz_nonk0band,7,-3,1
histo_vz_nonk0band,8,-3,1
histo_vz_nonk0band,9,-2.99999,1
